score_team,roundscore_AB,roundscore_CD,fault_player,ball_type,score_reason
AB,1,0,D,擋小球,對手未過網
CD,1,1,B,發長球,對手犯規
CD,1,2,A,擋小球,對手掛網
CD,1,3,B,擋小球,落地致勝
AB,2,3,D,小平球,對手掛網
AB,3,3,D,殺球,落地致勝
AB,4,3,D,放小球,對手掛網
CD,4,4,B,擋小球,對手掛網
CD,4,5,A,放小球,對手掛網
CD,4,6,B,防守回挑,對手出界
CD,4,7,A,殺球,落地致勝
AB,5,7,C,殺球,對手出界
CD,5,8,B,防守回挑,對手出界
CD,5,9,A,切球,落地致勝
AB,6,9,D,擋小球,對手出界
AB,7,9,C,挑球,對手掛網
AB,8,9,C,殺球,落地致勝
AB,9,9,D,發長球,落地致勝
AB,10,9,D,勾球,對手掛網
CD,10,10,B,殺球,落地致勝
CD,10,11,A,撲球,對手掛網
CD,10,12,B,放小球,對手掛網
AB,11,12,C,挑球,對手出界
CD,11,13,A,殺球,落地致勝
AB,12,13,C,殺球,對手掛網
AB,13,13,C,防守回抽,對手掛網
CD,13,14,A,殺球,落地致勝
CD,13,15,B,擋小球,落地致勝
AB,14,15,C,擋小球,對手出界
AB,15,15,C,殺球,對手掛網
CD,15,16,A,殺球,對手掛網
AB,16,16,C,殺球,對手掛網
CD,16,17,B,防守回抽,對手掛網
AB,17,17,C,擋小球,對手出界
AB,18,17,D,勾球,落地致勝
AB,19,17,D,防守回挑,對手出界
CD,19,18,B,殺球,落地致勝
CD,19,19,A,推球,對手出界
AB,20,19,C,擋小球,對手掛網
AB,21,19,D,殺球,落地致勝
