,win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
0,A,opponent hits the net,return net,hits the net,1,0
1,A,opponent goes out of bounds,back-court drive,goes out of bounds,2,0
2,B,opponent goes out of bounds,clear,goes out of bounds,2,1
3,B,opponent goes out of bounds,lob,goes out of bounds,2,2
4,B,opponent hits the net,return net,hits the net,2,3
5,A,opponent hits the net,return net,hits the net,3,3
6,A,wins by landing,lob,opponent wins by landing,4,3
7,B,opponent goes out of bounds,push,goes out of bounds,4,4
8,A,opponent goes out of bounds,smash,goes out of bounds,5,4
9,B,opponent goes out of bounds,return net,goes out of bounds,5,5
10,B,wins by landing,smash,opponent wins by landing,5,6
11,A,opponent hits the net,drop,hits the net,6,6
12,B,wins by landing,smash,opponent wins by landing,6,7
13,A,unknown,unknown,unknown,7,7
14,B,wins by landing,lob,opponent wins by landing,7,8
15,B,opponent goes out of bounds,lob,goes out of bounds,7,9
16,A,wins by landing,smash,opponent wins by landing,8,9
17,B,opponent goes out of bounds,smash,goes out of bounds,8,10
18,A,wins by landing,smash,opponent wins by landing,9,10
19,A,wins by landing,smash,opponent wins by landing,10,10
20,B,opponent goes out of bounds,lob,goes out of bounds,10,11
21,A,opponent hits the net,drop,hits the net,11,11
22,A,opponent fails to clear the net,return net,fails to clear the net,12,11
23,B,wins by landing,rush,opponent wins by landing,12,12
24,A,opponent goes out of bounds,passive drop,goes out of bounds,13,12
25,A,wins by landing,drive,opponent wins by landing,14,12
26,B,wins by landing,smash,opponent wins by landing,14,13
27,B,wins by landing,cross-court net shot,opponent wins by landing,14,14
28,B,opponent fails to clear the net,cross-court net shot,fails to clear the net,14,15
29,B,opponent goes out of bounds,lob,goes out of bounds,14,16
30,B,wins by landing,drop,opponent wins by landing,14,17
31,A,opponent fails to clear the net,net shot,fails to clear the net,15,17
32,A,opponent hits the net,return net,hits the net,16,17
33,A,wins by landing,wrist smash,opponent wins by landing,17,17
34,B,opponent goes out of bounds,clear,goes out of bounds,17,18
35,B,wins by landing,clear,opponent wins by landing,17,19
36,A,wins by landing,push,opponent wins by landing,18,19
37,A,wins by landing,drive,opponent wins by landing,19,19
38,A,opponent hits the net,net shot,hits the net,20,19
39,A,unknown,unknown,unknown,21,19
