win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,落地致勝,推球,對手落地致勝,0,1
A,對手掛網,勾球,掛網,1,1
A,對手出界,長球,出界,2,1
A,對手未過網,擋小球,未過網,3,1
A,對手出界,挑球,出界,4,1
A,對手出界,長球,出界,6,1
B,對手掛網,放小球,掛網,6,2
B,對手掛網,勾球,掛網,6,3
A,對手未過網,擋小球,未過網,7,3
A,落地致勝,殺球,對手落地致勝,8,3
B,落地致勝,撲球,對手落地致勝,8,4
A,對手出界,推球,出界,9,4
B,對手出界,推球,出界,9,5
B,落地致勝,撲球,對手落地致勝,9,6
B,落地致勝,勾球,對手落地致勝,9,7
A,對手掛網,放小球,掛網,10,7
B,落地致勝,推球,對手落地致勝,10,8
B,對手出界,挑球,出界,10,9
A,對手出界,挑球,出界,11,9
B,對手出界,長球,出界,11,10
B,,未知球種,,11,11
A,對手落點判斷失誤,推球,落點判斷失誤,12,11
B,落地致勝,撲球,對手落地致勝,12,12
A,落地致勝,殺球,對手落地致勝,13,12
A,對手出界,挑球,出界,14,12
A,對手掛網,勾球,掛網,15,12
A,落地致勝,殺球,對手落地致勝,16,12
B,落地致勝,撲球,對手落地致勝,16,13
A,對手未過網,擋小球,未過網,17,13
B,對手落點判斷失誤,推球,落點判斷失誤,17,14
A,落地致勝,殺球,對手落地致勝,18,14
A,對手掛網,殺球,掛網,19,14
A,落地致勝,殺球,對手落地致勝,20,14
A,落地致勝,殺球,對手落地致勝,21,14
